model_name_list,detail_link,detail_url,rent_yn,list_price_wan,model_name,price_wan,rent_yn_detail,support_money_wan,monthly_rent_wan,remain_months,year_month,mileage_km,fuel_type,transmission,color,displacement_cc,reg_date
BMW M3 3.0 컴페티션,/mycar/mycar_view.php?no=2245284&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2245284&gubun=I,False,,BMW M3 6세대  3.0 컴페티션 -,,False,,,,2021.05,36745.0,가솔린,자동,흰색,2993.0,
BMW M3 3.0 컴페티션 런아웃에디션,/mycar/mycar_view.php?no=2256292&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256292&gubun=I,False,,BMW M3 5세대  3.0 컴페티션 런아웃에디션,,False,,,,2019.02 (18년형),35664.0,가솔린,자동,녹색,2979.0,
BMW M3 4.0 컨버터블,/mycar/mycar_view.php?no=2253361&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2253361&gubun=I,False,,BMW M3 4세대  4.0 컨버터블 -,,False,,,,2013.03,54864.0,가솔린,자동,흰색,3999.0,
BMW M3 3.2 쿠페,/mycar/mycar_view.php?no=2249360&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2249360&gubun=I,False,,BMW M3 3세대  3.2 쿠페 -,,False,,,,2002.06,197740.0,가솔린,자동,기타색상,3246.0,
BMW M3 3.2 쿠페,/mycar/mycar_view.php?no=2254148&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2254148&gubun=I,False,,BMW M3 3세대  3.2 쿠페 -,,False,,,,2004.12,139446.0,가솔린,자동,은색,3246.0,
BMW M3 3.0 쿠페,/mycar/mycar_view.php?no=2252714&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2252714&gubun=I,False,,BMW M3 2세대  3.0 쿠페 -,,False,,,,2023.05 (94년형),130668.0,가솔린,수동,검정색,2990.0,
BMW X3 xDrive 20d M 스포츠,/mycar/mycar_view.php?no=2257363&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2257363&gubun=I,False,,BMW X3  xDrive 20d M 스포츠,,False,,,,2025.08,5100.0,디젤,자동,기타색상 (블랙사파이어),1995.0,
BMW X3 3세대  xDrive 20i M 스포츠 프로,/mycar/mycar_view.php?no=2257018&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2257018&gubun=I,False,6000.0,BMW X3 3세대  xDrive 20i M 스포츠 프로,6000.0,False,,,,2022.08,42000.0,가솔린,자동,검정색,1998.0,
BMW X3 3세대 xDrive 20i M 스포츠 프로,/mycar/mycar_view.php?no=2255124&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2255124&gubun=I,False,5250.0,BMW X3 3세대 xDrive 20i M 스포츠 프로,5250.0,False,,,,2022.10,88832.0,가솔린,자동,회색,1998.0,
BMW X3 xDrive 20d M 스포츠,/mycar/mycar_view.php?no=2252679&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2252679&gubun=I,False,,BMW X3 3세대  xDrive 20d M 스포츠,,False,,,,2018.01,108400.0,디젤,자동,흰색,1995.0,
BMW M5 4.4 PHEV,/mycar/mycar_view.php?no=2254783&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2254783&gubun=I,False,,BMW M5  4.4 PHEV -,,False,,,,2025.03,3213.0,가솔린,자동,검정색,4395.0,
BMW M5 4.4 PHEV,/mycar/mycar_view.php?no=2253903&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2253903&gubun=I,False,,BMW M5  4.4 PHEV -,,False,,,,2025.04,4000.0,가솔린,자동,검정색,4395.0,
